2022-05-24;-45446;53269;-7823;98715;0;;36579;-82025;99401;-46132;18615;-26438;;AUSTRALIAN DOLLAR
2022-05-17;-44642;54437;-9795;99079;0;;41473;-86115;98903;-44466;19187;-28982;;AUSTRALIAN DOLLAR
2022-05-10;-41714;47126;-5412;88840;0;;36869;-78583;91731;-44605;20131;-25543;;AUSTRALIAN DOLLAR
2022-05-03;-28516;34225;-5709;62741;0;;46995;-75511;80147;-45922;21330;-27039;;AUSTRALIAN DOLLAR
2022-04-26;-27651;28916;-1265;56567;0;;47105;-74756;75929;-47013;23120;-24385;;AUSTRALIAN DOLLAR
2022-04-19;-28837;20800;8037;49637;0;;39201;-68038;79208;-58408;28257;-20220;;AUSTRALIAN DOLLAR
2022-04-12;-28715;17876;10839;46591;0;;39770;-68485;81396;-63520;29106;-18267;;AUSTRALIAN DOLLAR
2022-04-05;-37513;22332;15181;59845;0;;34871;-72384;80207;-57875;32313;-17132;;AUSTRALIAN DOLLAR
2022-03-29;-49606;40894;8712;90500;0;;33960;-83566;80885;-39991;26806;-18094;;AUSTRALIAN DOLLAR
2022-03-22;-51189;48388;2801;99577;0;;23747;-74936;75916;-27528;25508;-22707;;AUSTRALIAN DOLLAR
2022-03-15;-44856;48640;-3784;93496;0;;24281;-69137;77621;-28981;19378;-23162;;AUSTRALIAN DOLLAR
2022-03-08;-78195;78183;12;156378;0;;19521;-97716;146144;-67961;25564;-25552;;AUSTRALIAN DOLLAR
2022-03-01;-78336;87737;-9401;166073;0;;12720;-91056;151922;-64185;19865;-29266;;AUSTRALIAN DOLLAR
2022-02-22;-84080;96072;-11992;180152;0;;11553;-95633;157416;-61344;18459;-30451;;AUSTRALIAN DOLLAR
2022-02-15;-86694;97684;-10990;184378;0;;11692;-98386;155928;-58244;19706;-30696;;AUSTRALIAN DOLLAR
2022-02-08;-85741;98357;-12616;184098;0;;17323;-103064;155203;-56846;19485;-32101;;AUSTRALIAN DOLLAR
2022-02-01;-79829;96098;-16269;175927;0;;18835;-98664;155124;-59026;18128;-34397;;AUSTRALIAN DOLLAR
2022-01-25;-83273;97749;-14476;181022;0;;15121;-98394;153386;-55637;16371;-30847;;AUSTRALIAN DOLLAR
2022-01-18;-88454;98519;-10065;186973;0;;9051;-97505;148978;-50459;19008;-29073;;AUSTRALIAN DOLLAR
2022-01-11;-91486;103609;-12123;195095;0;;12383;-103869;150375;-46766;18406;-30529;;AUSTRALIAN DOLLAR
2022-01-04;-89366;100809;-11443;190175;0;;12632;-101998;145915;-45106;18060;-29503;;AUSTRALIAN DOLLAR
2021-12-28;-81741;99476;-17735;181217;0;;16885;-98626;146266;-46790;16785;-34520;;AUSTRALIAN DOLLAR
2021-12-21;-80354;98033;-17679;178387;0;;22958;-103312;148859;-50826;16070;-33749;;AUSTRALIAN DOLLAR
2021-12-14;-78903;98423;-19520;177326;0;;29254;-108157;147601;-49178;16807;-36327;;AUSTRALIAN DOLLAR
2021-12-07;-81792;98874;-17082;180666;0;;33380;-115172;152842;-53968;19776;-36858;;AUSTRALIAN DOLLAR
2021-11-30;-80185;94709;-14524;174894;0;;33217;-113402;144539;-49830;18206;-32730;;AUSTRALIAN DOLLAR
2021-11-23;-63265;73423;-10158;136688;0;;40523;-103788;122921;-49498;18914;-29072;;AUSTRALIAN DOLLAR
2021-11-16;-61153;69858;-8705;131011;0;;30760;-91913;112044;-42186;19744;-28449;;AUSTRALIAN DOLLAR
2021-11-09;-63424;66185;-2761;129609;0;;23844;-87268;108880;-42695;22621;-25382;;AUSTRALIAN DOLLAR
2021-11-02;-75496;73970;1526;149466;0;;19187;-94683;116464;-42494;25749;-24223;;AUSTRALIAN DOLLAR
2021-10-26;-75246;76399;-1153;151645;0;;17448;-92694;117662;-41263;22432;-23585;;AUSTRALIAN DOLLAR
2021-10-19;-76058;81311;-5253;157369;0;;11632;-87690;121502;-40191;21748;-27001;;AUSTRALIAN DOLLAR
2021-10-12;-87608;102000;-14392;189608;0;;11193;-98801;146176;-44176;16345;-30737;;AUSTRALIAN DOLLAR
2021-10-05;-89979;108693;-18714;198672;0;;17471;-107450;151501;-42808;14474;-33188;;AUSTRALIAN DOLLAR
2021-09-28;-86383;104698;-18315;191081;0;;18407;-104790;143863;-39165;14460;-32775;;AUSTRALIAN DOLLAR
2021-09-21;-85584;102302;-16718;187886;0;;24746;-110330;141655;-39353;14298;-31016;;AUSTRALIAN DOLLAR
2021-09-14;-83383;96033;-12650;179416;0;;13116;-96499;131163;-35130;16375;-29025;;AUSTRALIAN DOLLAR
2021-09-07;-70488;83455;-12967;153943;0;;32496;-102984;116164;-32709;19996;-32963;;AUSTRALIAN DOLLAR
2021-08-31;-60078;81581;-21503;141659;0;;47384;-107462;114931;-33350;14812;-36315;;AUSTRALIAN DOLLAR
2021-08-24;-56600;77460;-20860;134060;0;;60964;-117564;116451;-38991;15687;-36547;;AUSTRALIAN DOLLAR
2021-08-17;-50367;69709;-19342;120076;0;;64169;-114536;101694;-31985;17213;-36555;;AUSTRALIAN DOLLAR
2021-08-10;-49313;64248;-14935;113561;0;;57323;-106636;94109;-29861;17148;-32083;;AUSTRALIAN DOLLAR
2021-08-03;-41283;51437;-10154;92720;0;;57742;-99025;89342;-37905;19398;-29552;;AUSTRALIAN DOLLAR
2021-07-27;-39347;51603;-12256;90950;0;;57415;-96762;89675;-38072;17836;-30092;;AUSTRALIAN DOLLAR
2021-07-20;-35690;44984;-9294;80674;0;;57072;-92762;84561;-39577;19452;-28746;;AUSTRALIAN DOLLAR
2021-07-13;-28788;34603;-5815;63391;0;;56721;-85509;76758;-42155;21022;-26837;;AUSTRALIAN DOLLAR
2021-07-06;-24870;26485;-1615;51355;0;;53352;-78222;68894;-42409;23265;-24880;;AUSTRALIAN DOLLAR
2021-06-29;-17800;16252;1548;34052;0;;48824;-66624;65391;-49139;24473;-22925;;AUSTRALIAN DOLLAR
2021-06-22;-17575;20348;-2773;37923;0;;56133;-73708;67907;-47559;22094;-24867;;AUSTRALIAN DOLLAR
2021-06-15;-17880;10356;7524;28236;0;;40139;-58019;56902;-46546;26262;-18738;;AUSTRALIAN DOLLAR
2021-06-08;-9437;-4303;13740;0;-13740;;48150;-57587;60293;-64596;31047;-17307;;AUSTRALIAN DOLLAR
2021-06-01;-1925;-12013;13938;0;-13938;;55385;-57310;47419;-59432;30225;-16287;;AUSTRALIAN DOLLAR
2021-05-25;-809;-12789;13598;0;-13598;;55098;-55907;49401;-62190;29543;-15945;;AUSTRALIAN DOLLAR
2021-05-18;3002;-17887;14885;0;-20889;;57862;-54860;47486;-65373;30543;-15658;;AUSTRALIAN DOLLAR
2021-05-11;2416;-20569;18153;0;-22985;;59158;-56742;45644;-66213;34767;-16614;;AUSTRALIAN DOLLAR
2023-04-04;-14793;8881;5912;23674;0;;46415;-61208;133802;-124921;31247;-25335;;BRITISH POUND STERLING
2023-03-28;-24084;22577;1507;46661;0;;28355;-52439;133149;-110572;26264;-24757;;BRITISH POUND STERLING
2023-03-21;-20498;25506;-5008;46004;0;;28652;-49150;129030;-103524;23376;-28384;;BRITISH POUND STERLING
2023-03-14;-17314;25702;-8388;43016;0;;32334;-49648;128752;-103050;22535;-30923;;BRITISH POUND STERLING
2023-03-07;-17402;33913;-16511;51315;0;;49111;-66513;145695;-111782;22450;-38961;;BRITISH POUND STERLING
2023-02-28;-23724;36441;-12717;60165;0;;41562;-65286;145180;-108739;21140;-33857;;BRITISH POUND STERLING
2023-02-21;-21416;37641;-16225;59057;0;;45475;-66891;143077;-105436;20231;-36456;;BRITISH POUND STERLING
2023-02-14;-19795;34015;-14220;53810;0;;42198;-61993;138641;-104626;20968;-35188;;BRITISH POUND STERLING
2023-02-07;-14121;31346;-17225;45467;0;;47131;-61252;132947;-101601;20214;-37439;;BRITISH POUND STERLING
